episode,total_reward,rolling_avg_20
1311,846.84,827.53
1312,787.22,821.34
1313,804.27,812.76
1314,757.46,801.0
1315,898.21,808.89
1316,858.91,813.31
1317,1040.84,816.95
1318,984.8,831.78
1319,698.22,815.19
1320,691.52,810.58
1321,738.93,812.44
1322,696.42,806.34
1323,1024.73,811.07
1324,888.88,819.28
1325,1027.53,835.26
1326,942.96,840.26
1327,827.29,834.48
1328,977.7,847.41
1329,913.15,854.67
1330,706.74,855.63
1331,1033.67,864.97
1332,912.17,871.22
1333,1034.58,882.74
1334,1029.12,896.32
1335,796.01,891.21
1336,1011.38,898.83
1337,969.66,895.27
1338,690.98,880.58
1339,693.63,880.35
1340,1047.73,898.16
1341,912.86,906.86
1342,1021.74,923.13
1343,703.18,907.05
1344,976.03,911.41
1345,1030.6,911.56
1346,897.06,909.27
1347,683.61,902.08
